prod_id,stock_de_seguridad
269,432.0
270,1155.0
271,342.0
272,1215.0
278,1609.0
279,713.0
281,938.0
282,371.0
283,542.0
284,760.0
286,832.0
287,431.0
288,2352.0
290,1162.0
291,1059.0
292,1779.0
293,1296.0
294,1774.0
295,863.0
297,1467.0
298,523.0
299,2359.0
300,635.0
301,1184.0
302,1438.0
304,1323.0
306,2279.0
307,1021.0
308,1120.0
309,1774.0
310,499.0
311,1498.0
312,2252.0
313,836.0
315,1454.0
316,656.0
319,783.0
321,1274.0
322,709.0
324,1167.0
325,831.0
326,443.0
328,1518.0
329,986.0
330,964.0
332,1828.0
333,395.0
335,1218.0
341,479.0
342,1282.0
345,265.0
347,182.0
348,2694.0
350,1064.0
351,2227.0
352,1781.0
353,1037.0
354,1006.0
356,1610.0
357,151.0
358,547.0
359,700.0
360,1894.0
361,1410.0
362,3650.0
364,949.0
365,538.0
369,818.0
370,734.0
372,621.0
373,1111.0
374,793.0
376,1508.0
377,1261.0
378,980.0
379,1041.0
380,1452.0
383,388.0
384,1521.0
385,553.0
386,540.0
388,1089.0
389,1232.0
390,785.0
391,978.0
395,685.0
400,1405.0
402,1328.0
403,867.0
405,1569.0
407,1606.0
408,1177.0
409,1170.0
410,1014.0
411,624.0
413,1177.0
414,1981.0
415,1208.0
416,964.0
420,1353.0
421,336.0
422,441.0
423,288.0
426,1005.0
428,717.0
429,668.0
430,2801.0
433,1017.0
434,416.0
436,915.0
437,316.0
438,998.0
441,1432.0
442,2487.0
443,1195.0
445,1357.0
447,2109.0
449,554.0
450,669.0
451,861.0
453,1555.0
455,1080.0
457,1340.0
458,978.0
461,382.0
462,240.0
463,1209.0
465,220.0
466,1150.0
467,443.0
469,701.0
470,952.0
471,786.0
472,1249.0
475,1741.0
476,2030.0
477,194.0
478,499.0
479,1415.0
483,834.0
484,142.0
486,1196.0
488,994.0
491,1623.0
492,598.0
493,447.0
494,1104.0
495,336.0
498,1107.0
499,469.0
501,1826.0
502,1512.0
507,842.0
508,1189.0
510,1536.0
511,501.0
512,86.0
513,735.0
514,247.0
518,370.0
520,1221.0
521,1363.0
522,1038.0
524,783.0
525,350.0
528,1192.0
529,817.0
530,813.0
533,119.0
534,545.0
536,1969.0
537,890.0
538,302.0
539,522.0
540,378.0
544,850.0
549,1461.0
550,1201.0
553,707.0
556,581.0
559,286.0
562,1232.0
564,1190.0
565,1107.0
566,165.0
567,1625.0
571,113.0
572,634.0
574,534.0
576,3174.0
580,1220.0
581,941.0
583,1375.0
584,1074.0
585,1345.0
588,811.0
590,580.0
592,1418.0
594,1362.0
595,754.0
598,2069.0
601,56.0
602,2568.0
603,995.0
604,1371.0
605,686.0
606,1009.0
608,362.0
610,1417.0
612,988.0
613,203.0
614,1390.0
615,1130.0
616,433.0
618,1208.0
620,1614.0
622,2234.0
624,1096.0
625,272.0
626,1298.0
627,267.0
628,1795.0
629,1001.0
630,728.0
635,2047.0
637,481.0
639,1917.0
640,429.0
641,359.0
643,842.0
644,509.0
649,731.0
651,1271.0
653,352.0
655,1465.0
656,765.0
658,454.0
659,1817.0
660,1100.0
663,675.0
664,1353.0
665,942.0
666,1438.0
667,1316.0
669,1006.0
671,1178.0
672,1913.0
673,2650.0
675,871.0
676,2454.0
677,1883.0
678,1746.0
679,1695.0
681,695.0
684,600.0
685,1132.0
687,1233.0
690,720.0
692,1398.0
693,479.0
696,1992.0
697,1309.0
698,340.0
699,351.0
701,262.0
704,164.0
705,558.0
707,1619.0
708,1884.0
709,2048.0
710,975.0
711,790.0
712,110.0
713,733.0
714,874.0
715,1052.0
717,593.0
719,484.0
720,2011.0
721,382.0
722,1243.0
724,535.0
726,1224.0
727,1184.0
728,143.0
730,1375.0
733,1679.0
735,207.0
736,804.0
737,198.0
739,1486.0
741,335.0
742,3015.0
744,1059.0
745,1340.0
747,840.0
749,2444.0
750,1205.0
751,1040.0
752,1404.0
753,1210.0
756,1564.0
757,638.0
759,508.0
760,659.0
761,787.0
762,468.0
764,1133.0
766,888.0
767,395.0
769,438.0
771,1221.0
772,1028.0
774,642.0
775,1014.0
776,1567.0
777,1189.0
778,755.0
779,760.0
781,773.0
782,1414.0
784,1723.0
786,869.0
787,797.0
789,1295.0
792,1033.0
795,956.0
796,1209.0
797,2013.0
800,882.0
804,1675.0
805,1519.0
806,590.0
807,555.0
808,839.0
810,273.0
811,390.0
813,374.0
815,706.0
817,11.0
819,604.0
820,698.0
821,505.0
822,259.0
823,924.0
824,1101.0
825,925.0
826,468.0
827,237.0
828,258.0
